scenario,variable,shock_id,total,l1
GIRF — aluminium to uncertainty shock,lead,coffee_arabic,-0.001292568949061611,0.012724779212775447
GIRF — aluminium to uncertainty shock,lead,silver,-0.0011358354762613962,0.005743193379900373
GIRF — aluminium to uncertainty shock,lead,tin,-7.028848193792324e-4,0.025680384410218835
GIRF — aluminium to uncertainty shock,lead,gold,-5.909423047044777e-4,0.002055010177818341
GIRF — aluminium to uncertainty shock,lead,cocoa,4.1416589177088975e-4,0.009348808971978581
GIRF — aluminium to uncertainty shock,lead,cotton_a_indx,-3.700606494236851e-4,0.0035325991125564533
GIRF — aluminium to uncertainty shock,lead,sugar_wld,-3.397463483928869e-4,0.002943410434316113
GIRF — aluminium to uncertainty shock,lead,wheat_us_hrw,-2.7836612315310853e-4,0.01117505056854966
GIRF — aluminium to uncertainty shock,lead,aluminium,-2.5288031393680454e-4,0.004655904142837251
GIRF — aluminium to uncertainty shock,lead,crude_wti,-1.6016202539475137e-4,0.0014426387578252674
GIRF — aluminium to uncertainty shock,maize,maize,0.0863130830176948,0.4310038177951591
GIRF — aluminium to uncertainty shock,maize,zinc,0.010868856576203968,0.04727406195644281
GIRF — aluminium to uncertainty shock,maize,soybeans,-0.008040907657130076,0.02709931002132509
GIRF — aluminium to uncertainty shock,maize,platinum,0.006313118530827904,0.034351166990364834
GIRF — aluminium to uncertainty shock,maize,nickel,0.005969989766946106,0.035899480665665014
GIRF — aluminium to uncertainty shock,maize,gold,0.005132838160773775,0.021510652595120548
GIRF — aluminium to uncertainty shock,maize,aluminium,0.004310274041542392,0.02294245759967825
GIRF — aluminium to uncertainty shock,maize,silver,0.003026732278433977,0.013766311515898253
GIRF — aluminium to uncertainty shock,maize,coffee_arabic,0.0026671792603509383,0.011501532918737026
GIRF — aluminium to uncertainty shock,maize,wheat_us_hrw,0.0023522237593830413,0.016115002729731768
GIRF — aluminium to uncertainty shock,maize,crude_wti,0.001823527496368443,0.008936950183450377
GIRF — aluminium to uncertainty shock,maize,tin,-0.0014708395236045875,0.004823261131867195
GIRF — aluminium to uncertainty shock,maize,cotton_a_indx,0.001432743943634442,0.005788532830796439
GIRF — aluminium to uncertainty shock,maize,cocoa,7.031188034205733e-4,0.006273142100959762
GIRF — aluminium to uncertainty shock,maize,copper,-6.361038898706835e-4,0.008617865060681698
GIRF — aluminium to uncertainty shock,maize,lead,2.686354703476017e-4,0.040919799387309386
GIRF — aluminium to uncertainty shock,maize,ngas_us,1.3241841581922544e-4,0.012055799023579068
GIRF — aluminium to uncertainty shock,maize,sugar_wld,4.414782982128907e-5,0.004321348716000731
GIRF — aluminium to uncertainty shock,ngas_us,ngas_us,0.029029940114013927,0.37113946986592633
GIRF — aluminium to uncertainty shock,ngas_us,maize,0.007125742626289969,0.053580705212850716
GIRF — aluminium to uncertainty shock,ngas_us,wheat_us_hrw,0.004554601798304031,0.03661731508607072
GIRF — aluminium to uncertainty shock,ngas_us,coffee_arabic,0.0034439953032459353,0.03502034670290906
GIRF — aluminium to uncertainty shock,ngas_us,crude_wti,0.0023631664426542343,0.01763517574210636
GIRF — aluminium to uncertainty shock,ngas_us,zinc,-0.002244364314315063,0.020950439715885213
GIRF — aluminium to uncertainty shock,ngas_us,copper,-0.002172146160531678,0.03910087102394011
GIRF — aluminium to uncertainty shock,ngas_us,soybeans,0.0020967593758596074,0.04034532055041533
GIRF — aluminium to uncertainty shock,ngas_us,sugar_wld,0.002020227095504825,0.027133612708010273
GIRF — aluminium to uncertainty shock,ngas_us,tin,0.0014151428100796716,0.014619927749401303
GIRF — aluminium to uncertainty shock,ngas_us,nickel,0.0012748498362741359,0.008498227782151264
GIRF — aluminium to uncertainty shock,ngas_us,silver,0.0010471479169375927,0.019080305562134
GIRF — aluminium to uncertainty shock,ngas_us,gold,0.0010356068850453795,0.030629464004349523
GIRF — aluminium to uncertainty shock,ngas_us,cotton_a_indx,7.253587546809481e-4,0.015834518486059483
GIRF — aluminium to uncertainty shock,ngas_us,cocoa,-5.297015967849596e-4,0.011336832632341812
GIRF — aluminium to uncertainty shock,ngas_us,aluminium,3.645455848778601e-4,0.013934592533835414
GIRF — aluminium to uncertainty shock,ngas_us,platinum,-2.3203447094371533e-4,0.004358557310995149
GIRF — aluminium to uncertainty shock,ngas_us,lead,-9.091819456374489e-5,0.0010491020301192802
GIRF — aluminium to uncertainty shock,nickel,nickel,0.14152858482417016,0.3754561194043218
GIRF — aluminium to uncertainty shock,nickel,maize,0.007410436296692911,0.0993357348176221
GIRF — aluminium to uncertainty shock,nickel,zinc,0.005997081760761093,0.05565671152539458
GIRF — aluminium to uncertainty shock,nickel,platinum,0.0041860783512000285,0.02638133281756502
GIRF — aluminium to uncertainty shock,nickel,cotton_a_indx,0.0038365680639067205,0.017567513411010528
GIRF — aluminium to uncertainty shock,nickel,wheat_us_hrw,0.00283807228414537,0.03788793065788733
GIRF — aluminium to uncertainty shock,nickel,gold,0.0027283095163036326,0.018394057059544392
GIRF — aluminium to uncertainty shock,nickel,coffee_arabic,0.002545374463690288,0.02642676194945591
GIRF — aluminium to uncertainty shock,nickel,aluminium,0.0023520918769394587,0.014352551353206507
GIRF — aluminium to uncertainty shock,nickel,cocoa,0.002347395994153078,0.0142386957139223
GIRF — aluminium to uncertainty shock,nickel,sugar_wld,0.0018935796182008376,0.016026360447950756
GIRF — aluminium to uncertainty shock,nickel,silver,0.0017574778646252374,0.007903197582991432
GIRF — aluminium to uncertainty shock,nickel,soybeans,0.0017512212604666724,0.03602662487998326
