t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
1,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,sugar_wld,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,tin,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,wheat_us_hrw,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,zinc,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,aluminium,0,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
2,aluminium,1,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
3,aluminium,0.14142108124163222,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
4,aluminium,0.03154380878755716,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
5,aluminium,0.012112265437411604,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
6,aluminium,0.00469075209686058,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
7,aluminium,0.00137659352662869,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
8,aluminium,-6.501521323368654e-5,GIRF — aluminium to uncertainty shock,FALSE,combined,jln,NA,NA
