scenario,regime,variable,t,sum_contrib,uncertainty,delta,residual
GIRF — aluminium to uncertainty shock,combined,crude_wti,4,0.11183338810597801,vxo,0.11183338810597804,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,crude_wti,5,-0.25507354041234737,vxo,-0.2550735404123474,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,crude_wti,6,-0.178659661995492,vxo,-0.17865966199549205,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,crude_wti,7,-0.015202361127869725,vxo,-0.01520236112786972,5.204170427930421e-18
GIRF — aluminium to uncertainty shock,combined,crude_wti,8,0.09780024100688536,vxo,0.09780024100688532,-4.163336342344337e-17
GIRF — aluminium to uncertainty shock,combined,crude_wti,9,0.1049664753929527,vxo,0.1049664753929527,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,10,0.4522276060619709,vxo,0.4522276060619709,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,11,0.1018553055848318,vxo,0.1018553055848318,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,12,-0.3775565764834667,vxo,-0.3775565764834666,1.1102230246251565e-16
GIRF — aluminium to uncertainty shock,combined,crude_wti,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,3,0.2075425171654332,vxo,0.2075425171654332,0
GIRF — aluminium to uncertainty shock,combined,gold,4,-0.15537088729364543,vxo,-0.15537088729364543,0
GIRF — aluminium to uncertainty shock,combined,gold,5,-0.43941425271420653,vxo,-0.4394142527142065,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,gold,6,0.09073202018358914,vxo,0.09073202018358915,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,gold,7,0.4116089145038566,vxo,0.4116089145038567,1.1102230246251565e-16
GIRF — aluminium to uncertainty shock,combined,gold,8,-0.09250713011974834,vxo,-0.09250713011974836,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,gold,9,-0.12482479963997511,vxo,-0.1248247996399751,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,gold,10,0.1510415100979669,vxo,0.15104151009796693,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,gold,11,0.05903456852525672,vxo,0.05903456852525671,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,gold,12,-0.31332581307498253,vxo,-0.3133258130749825,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,gold,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,gold,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,3,0.09106937442022857,vxo,0.09106937442022855,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,lead,4,0.1368688860628291,vxo,0.13686888606282913,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,lead,5,-0.2997924233255176,vxo,-0.29979242332551753,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,lead,6,0.14033002414524798,vxo,0.140330024145248,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,lead,7,-0.11312545926309461,vxo,-0.1131254592630946,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,lead,8,0.056839461307886884,vxo,0.05683946130788688,-6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,lead,9,-0.05447707095550245,vxo,-0.05447707095550246,-6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,lead,10,0.17272246675474576,vxo,0.1727224667547457,-5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,lead,11,0.08190593991052192,vxo,0.08190593991052188,-4.163336342344337e-17
GIRF — aluminium to uncertainty shock,combined,lead,12,-0.050783815774240376,vxo,-0.05078381577424037,6.938893903907228e-18
GIRF — aluminium to uncertainty shock,combined,lead,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,lead,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,maize,3,-0.24010742242940886,vxo,-0.24010742242940888,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,maize,4,-0.08750409691709869,vxo,-0.08750409691709868,1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,maize,5,0.09367543667727388,vxo,0.0936754366772739,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,maize,6,0.36346200838208,vxo,0.36346200838208,0
GIRF — aluminium to uncertainty shock,combined,maize,7,-0.020353690034066785,vxo,-0.02035369003406678,3.469446951953614e-18
GIRF — aluminium to uncertainty shock,combined,maize,8,-0.3160427284582952,vxo,-0.3160427284582952,0
