uncertainty,scenario,regime,variable,t,shocked,baseline,delta
vix,GIRF — aluminium to uncertainty shock,combined,gold,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,3,0.09722992948292208,0,0.09722992948292208
vix,GIRF — aluminium to uncertainty shock,combined,lead,4,-0.08822074282925076,0,-0.08822074282925076
vix,GIRF — aluminium to uncertainty shock,combined,lead,5,0.06932407663385191,0,0.06932407663385191
vix,GIRF — aluminium to uncertainty shock,combined,lead,6,-0.04058812212550871,0,-0.04058812212550871
vix,GIRF — aluminium to uncertainty shock,combined,lead,7,0.02498312387399772,0,0.02498312387399772
vix,GIRF — aluminium to uncertainty shock,combined,lead,8,-0.04577379740326385,0,-0.04577379740326385
vix,GIRF — aluminium to uncertainty shock,combined,lead,9,-0.00936493246422565,0,-0.00936493246422565
vix,GIRF — aluminium to uncertainty shock,combined,lead,10,0.0327541158740731,0,0.0327541158740731
vix,GIRF — aluminium to uncertainty shock,combined,lead,11,-0.00307511335627633,0,-0.00307511335627633
vix,GIRF — aluminium to uncertainty shock,combined,lead,12,-0.03973662643854445,0,-0.03973662643854445
vix,GIRF — aluminium to uncertainty shock,combined,lead,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,lead,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,3,-0.04147144554217098,0,-0.04147144554217098
vix,GIRF — aluminium to uncertainty shock,combined,maize,4,0.2076967704257389,0,0.2076967704257389
vix,GIRF — aluminium to uncertainty shock,combined,maize,5,0.13254307279088565,0,0.13254307279088565
vix,GIRF — aluminium to uncertainty shock,combined,maize,6,-0.06781136263387819,0,-0.06781136263387819
vix,GIRF — aluminium to uncertainty shock,combined,maize,7,-0.07761506329249288,0,-0.07761506329249288
vix,GIRF — aluminium to uncertainty shock,combined,maize,8,0.03342358977641232,0,0.03342358977641232
vix,GIRF — aluminium to uncertainty shock,combined,maize,9,0.00197749216085922,0,0.00197749216085922
vix,GIRF — aluminium to uncertainty shock,combined,maize,10,-0.09356955434010884,0,-0.09356955434010884
vix,GIRF — aluminium to uncertainty shock,combined,maize,11,-0.03552730266225124,0,-0.03552730266225124
vix,GIRF — aluminium to uncertainty shock,combined,maize,12,0.06156483959796924,0,0.06156483959796924
vix,GIRF — aluminium to uncertainty shock,combined,maize,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,maize,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,3,-0.09331997304975093,0,-0.09331997304975093
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,4,0.10132227985332765,0,0.10132227985332765
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,5,0.04111692074458506,0,0.04111692074458506
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,6,0.0999837889790658,0,0.0999837889790658
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,7,0.00376450037197361,0,0.00376450037197361
vix,GIRF — aluminium to uncertainty shock,combined,ngas_us,8,-0.13081131568457793,0,-0.13081131568457793
