lower,median,upper,,,,,,,,,,t
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,510
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,511
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,512
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,513
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,514
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,515
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,516
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,517
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,518
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,519
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,520
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,521
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,522
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,523
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,524
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,525
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,526
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,527
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,528
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,529
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,530
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,531
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,532
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,533
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,534
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,535
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,536
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,537
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,538
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,539
0,-0.8185707858859013,-0.2884435089758995,-0.06635888524247448,-0.010950962231186025,-9.98702316832773e-4,1,0.1989875610411398,0.02701709549805855,9.435627529887523e-4,-8.319778484890131e-4,-3.338363675972591e-4,540
